gene,class
ADTRP,L5
ASF1A,L6
MAN1A1,L2
SERINC1,L6
HINT3,L6
SASH1,L6
ICK,L6
CD83,L4
BMP5,L1
ZNF451,L6
KHDRBS2,L2
E2F3,L2
PTP4A1,L6
ASCC3,L6
BVES,L6
GPLD1,L4
SMAP1,L4
SNX3,L2
HBS1L,L6
FIG4,L3
KIAA1244,L6
EPM2A,L6
QKI,L6
MDFI,L1
TFEB,L6
PTK7,L6
SENP6,L6
SLC29A1,L3
LY86,L1
PRSS16,L4
TBX18,L1
ERBB2IP,L6
NUDT12,L6
MAN2A1,L6
SEMA5A,L6
C7,L1
DAP,L1
HBEGF,L6
PCDHB6,L5
RNF130,L6
CNOT6,L6
RASGRF2,L2
CCNG1,L6
POLR3G,L6
CDH6,L5
SLC27A6,L6
BRIX1,L6
FGF1,L6
C5orf15,L6
LIFR,L6
SMAD5,L6
HMGXB3,L2
ATP6V0E1,L1
TIMMDC1,L6
ARL6,L2
NPHP3,L6
AMOTL2,L6
PCCB,L6
CEP70,L6
KAT2B,L6
BCHE,L6
PDCD10,L6
WNT5A,L2
USP4,L3
ACAP2,L6
HYAL1,L1
FXR1,L6
BBX,L6
GBE1,L6
FRMD4B,L6
ATP6V1A,L4
EFCC1,L2
NEK11,L4
COMMD2,L6
PEX5L,L6
ABCC5,L3
ABHD14B,L1
KLHL24,L6
PLCH1,L4
TNNC1,L1
NKTR,L6
INO80D,L6
EEF1B2,L1
RTKN,L6
NCL,L6
SLC35F5,L6
ACTR3,L6
TP53I3,L1
STAM2,L6
TANC1,L6
SLC30A3,L3
NRBP1,L4
ITGA4,L2
PDE1A,L5
GCA,L6
TACR1,L3
CCDC88A,L6
MRPL19,L6
LANCL1,L6
FANCL,L6
PECR,L6
UNC50,L6
EFHD1,L6
KCNJ13,L1
CHST10,L3
KDM3A,L2
SMYD1,L5
IL1RL2,L4
CNPPD1,L6
PASK,L5
HPCAL1,L2
STRN,L6
CEBPZ,L6
QPCT,L4
DLX2,L2
PLCL1,L6
WIPF1,L6
PLEK,L1
TRAK2,L6
TIA1,L6
KISS1R,L5
NFE2L2,L6
MSH6,L6
EPHA4,L3
ALMS1,L6
MARK1,L4
GPX7,L1
CEP104,L6
TCEANC2,L6
TMEM59,L6
STXBP3,L6
AMPD2,L2
KCNC4,L4
RAP1A,L6
CAPZA1,L6
TRIM62,L6
DLGAP3,L2
RHOU,L6
FBXO2,L1
SWT1,L6
IVNS1ABP,L6
KIAA2013,L6
SLC35D1,L6
TROVE2,L6
SRSF11,L6
AGMAT,L4
OLFML3,L1
TNNI3K,L3
PHTF1,L4
CD58,L1
RRAGC,L6
MTR,L6
BMP8B,L6
SIPA1L2,L4
RIMS3,L3
PADI2,L6
ZNHIT6,L6
KIF17,L4
CDK18,L6
GALE,L3
ID3,L1
SLC2A1,L1
EBNA1BP2,L2
IPO13,L6
PRDX1,L1
PIK3R3,L5
FAAH,L6
NSUN4,L4
TMED5,L6
ABCD3,L6
DPH5,L6
PTBP2,L6
PRDX6,L1
IRF6,L1
RCAN3,L6
C1orf63,L6
SLC35A3,L6
NEK2,L2
RPS6KA1,L6
NENF,L6
NSL1,L6
PROX1,L6
PPP1R8,L6
STX12,L6
OSBPL9,L6
MESDC2,L6
TREH,L6
TNNT2,L3
ATF6,L6
CREB1,L6
TTR,L1
C1orf54,L1
CA14,L6
LRMP,L4
ATP10B,L6
FILIP1,L6
CASP8AP2,L6
