gene,class
IDH1,BIPO
IDH2,BIPO
IDH3A,BIPO
IDH3B,BIPO
IFNA1,BIPO
IFNA13,BIPO
IFNG,BIPO
IFNG-AS1,BIPO
IFT27,BIPO
IGF1,BIPO
IGFBP2,BIPO
IGHG3,BIPO
IGKV2D-28,BIPO
IGSF9B,BIPO
IL10,BIPO
IL17C,BIPO
IL18,BIPO
IL18R1,BIPO
IL1A,BIPO
IL1B,BIPO
IL1RN,BIPO
IL2RB,BIPO
IL4,BIPO
IL6,BIPO
IMPA1,BIPO
IMPA2,BIPO
IMPACT,BIPO
INPP1,BIPO
INS,BIPO
INSRR,BIPO
INTS7,BIPO
IPO8,BIPO
IQCH,BIPO
IQCH-AS1,BIPO
ISL1,BIPO
ITGA9,BIPO
ITGAM,BIPO
ITGB4,BIPO
ITGB5,BIPO
ITIH1,BIPO
ITIH3,BIPO
ITIH4,BIPO
ITPR1,BIPO
ITPR3,BIPO
ITSN2,BIPO
JADE2,BIPO
JMJD1C,BIPO
KANK4,BIPO
KAT5,BIPO
KCNMB2,BIPO
KCNMB2-AS1,BIPO
KCNN3,BIPO
KCNQ2,BIPO
KCNQ3,BIPO
KCTD12,BIPO
KCTD7,BIPO
KDM3B,BIPO
KIF15,BIPO
KIF22,BIPO
KL,BIPO
KLF6,BIPO
KLHL23,BIPO
KLK15,BIPO
KLK8,BIPO
KMO,BIPO
KMT2D,BIPO
KRIT1,BIPO
KSR2,BIPO
LAMA4-AS1,BIPO
LAMC2,BIPO
LAMP3,BIPO
LARS2,BIPO
LBX1,BIPO
LDHA,BIPO
LEP,BIPO
LGR6,BIPO
LHFPL3,BIPO
LHFPL3-AS1,BIPO
LHX5,BIPO
LINC00243,BIPO
LINC00271,BIPO
LINC00273,BIPO
LINC00461,BIPO
LINC00907,BIPO
LINC01121,BIPO
LINC01358,BIPO
LINC01378,BIPO
LINC01470,BIPO
LINC01592,BIPO
LINC01643,BIPO
LINC01672,BIPO
LINC01748,BIPO
LINC01789,BIPO
LINC02033,BIPO
LINC02109,BIPO
LINC02356,BIPO
LINC02384,BIPO
LINC02694,BIPO
LINC02779,BIPO
LINC02822,BIPO
LINGO2,BIPO
LITAF,BIPO
LMAN2L,BIPO
LMLN,BIPO
LMO7,BIPO
LMX1A,BIPO
LOC100507564,BIPO
LOC101927026,BIPO
LOC101927995,BIPO
LOC101928937,BIPO
LOC101929200,BIPO
LOC101930053,BIPO
LOC102724068,BIPO
LOC105370032,BIPO
LOC105370052,BIPO
LOC105370753,BIPO
LOC105370982,BIPO
LOC105371357,BIPO
LOC105371433,BIPO
LOC105371630,BIPO
LOC105371677,BIPO
LOC105372125,BIPO
LOC105372213,BIPO
LOC105372577,BIPO
LOC105372725,BIPO
LOC105373170,BIPO
LOC105373313,BIPO
LOC105374534,BIPO
LOC105374699,BIPO
LOC105374811,BIPO
LOC105374812,BIPO
LOC105374875,BIPO
LOC105375284,BIPO
LOC105375382,BIPO
LOC105375630,BIPO
LOC105375695,BIPO
LOC105375956,BIPO
LOC105376033,BIPO
LOC105376249,BIPO
LOC105376755,BIPO
LOC105376934,BIPO
LOC105377013,BIPO
LOC105377864,BIPO
LOC105377971,BIPO
LOC105378685,BIPO
LOC107984265,BIPO
LOC107984292,BIPO
LOC107984478,BIPO
LOC107984527,BIPO
LOC107984805,BIPO
LOC107985255,BIPO
LOC107985554,BIPO
LOC107985969,BIPO
LOC107986043,BIPO
LOC107986119,BIPO
LOC107986584,BIPO
LOC107986586,BIPO
LOC107986945,BIPO
LOC107987027,BIPO
LOC110806262,BIPO
LOC349160,BIPO
LPAR3,BIPO
LRP8,BIPO
LRRC4C,BIPO
LRRC57,BIPO
LRRC7,BIPO
LTN1,BIPO
MACROD1,BIPO
MACROD2,BIPO
MAD1L1,BIPO
MAFD1,BIPO
MAFD2,BIPO
MAFD4,BIPO
MAFD6,BIPO
MAGEE1,BIPO
MAGI1,BIPO
MAGI2,BIPO
MAOA,BIPO
MAOB,BIPO
MAP2,BIPO
MAPK1,BIPO
MAPK3,BIPO
MAPK8IP3,BIPO
MARCKS,BIPO
MARK2,BIPO
MAU2,BIPO
MBD5,BIPO
MBL2,BIPO
MC2R,BIPO
MC5R,BIPO
MCHR1,BIPO
MCHR2,BIPO
MCPH1,BIPO
MCTP1,BIPO
MDD1,BIPO
MDGA1,BIPO
ME2,BIPO
MECP2,BIPO
MEN1,BIPO
MFGE8,BIPO
MGAT4A,BIPO
MICU1,BIPO
MINDY2,BIPO
MIR132,BIPO
MIR137,BIPO
MIR137HG,BIPO
MIR144,BIPO
MIR146A,BIPO
MIR149,BIPO
MIR184,BIPO
MIR195,BIPO
MIR206,BIPO
MIR212,BIPO
MIR223,BIPO
MIR2682,BIPO
MIR29C,BIPO
MIR346,BIPO
MIR34A,BIPO
MIR4761,BIPO
MIR497,BIPO
MIR504,BIPO
MIR6766,BIPO
MIR708,BIPO
MIXL1,BIPO
MKLN1,BIPO
MLC1,BIPO
